Label,Outer left eyebrow-x,Outer left eyebrow-y,Outer left eyebrow-z,Middle left eyebrow-x,Middle left eyebrow-y,Middle left eyebrow-z,Inner left eyebrow-x,Inner left eyebrow-y,Inner left eyebrow-z,Inner right eyebrow-x,Inner right eyebrow-y,Inner right eyebrow-z,Middle right eyebrow-x,Middle right eyebrow-y,Middle right eyebrow-z,Outer right eyebrow-x,Outer right eyebrow-y,Outer right eyebrow-z,Left temple-x,Left temple-y,Left temple-z,Outer left eye corner-x,Outer left eye corner-y,Outer left eye corner-z,Inner left eye corner-x,Inner left eye corner-y,Inner left eye corner-z,Inner right eye corner-x,Inner right eye corner-y,Inner right eye corner-z,Outer right eye corner-x,Outer right eye corner-y,Outer right eye corner-z,Right temple-x,Right temple-y,Right temple-z,Nose saddle left-x,Nose saddle left-y,Nose saddle left-z,Nose saddle right-x,Nose saddle right-y,Nose saddle right-z,Left nose peak-x,Left nose peak-y,Left nose peak-z,Nose tip-x,Nose tip-y,Nose tip-z,Right nose peak-x,Right nose peak-y,Right nose peak-z,Left mouth corner-x,Left mouth corner-y,Left mouth corner-z,Upper lip outer middle-x,Upper lip outer middle-y,Upper lip outer middle-z,Right mouth corner-x,Right mouth corner-y,Right mouth corner-z,Upper lip inner middle-x,Upper lip inner middle-y,Upper lip inner middle-z,Lower lip inner middle-x,Lower lip inner middle-y,Lower lip inner middle-z,Lower lip outer middle-x,Lower lip outer middle-y,Lower lip outer middle-z,Chin middle-x,Chin middle-y,Chin middle-z,Left ear lobe-x,Left ear lobe-y,Left ear lobe-z,Right ear lobe-x,Right ear lobe-y,Right ear lobe-z
SURPRISE,-44.67,25.915,93.632,-26.163,44.394,108.271,0.649,36.543,118.357,35.396,37.399,115.336,59.941,44.801,99.274,73.667,29.866,82.956,NaN,NaN,NaN,-35.785,15.943,97.703,-1.398,13.804,107.315,32.108,14.716,104.989,64.011,16.791,90.966,NaN,NaN,NaN,13.37,6.262,130.047,26.079,7.184,126.82,-1.564,-25.457,122.981,22.506,-14.124,147.629,36.875,-23.058,129.675,-7.276,-73.803,103.996,19.383,-56.721,129.174,42.811,-71.736,97.855,19.445,-58.914,126.268,17.034,-92.909,112.999,18.278,-101.887,114.932,17.216,-132.54,93.01,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-77.189,2.587,50.57,-57.616,12.716,73.938,-33.352,10.622,82.729,-11.719,10.125,86.3,11.783,13.811,80.192,31.852,7.915,66.335,NaN,NaN,NaN,-66.35,-1.152,58.687,-37.552,-3.178,64.352,-5.411,-3.04,64.983,25.418,-1.77,60.94,NaN,NaN,NaN,-26.961,-7.439,83.054,-16.083,-7.304,83.126,-38.267,-39.932,81.698,-21.33,-33.582,100.392,-2.897,-41.142,83.431,-45.16,-70.296,71.446,-21.482,-64.245,87.296,6.656,-69.198,74.071,-21.543,-67.232,84.765,-22.324,-69.513,82.898,-22.231,-75.901,84.93,-20.735,-105.997,79.596,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-71.597,7.61,110.883,-50.733,16.868,135.603,-26.259,13.551,141.315,-4.219,13.527,143.565,21.399,19.863,138.836,37.084,13.683,126.638,NaN,NaN,NaN,-59.95,3.657,119.355,-29.289,2.256,125.524,0.079,2.17,126.849,30.93,6.703,123.089,NaN,NaN,NaN,-21.502,-1.709,140.714,-7.525,-1.711,142.189,-30.205,-32.942,142.802,-14.292,-29.81,160.129,5.14,-33.55,142.215,-39.85,-65.979,125.115,-14.129,-56.442,144.43,15.732,-65.036,126.722,-14.108,-60.936,140.941,-12.055,-69.439,137.71,-11.983,-76.935,140.359,-12.573,-103.661,137.169,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-98.385,21.771,-67.196,-84.691,36.679,-46.926,-59.048,32.652,-37.467,-29.19,38.185,-33.051,-5.099,46.828,-38.536,12.904,37.672,-50.245,NaN,NaN,NaN,-86.914,14.644,-62.404,-56.369,17.206,-49.499,-26.293,21.087,-48.834,4.982,25.857,-50.923,NaN,NaN,NaN,-48.661,12.326,-31.774,-34.423,13.027,-28.116,-57.303,-18.949,-38.057,-40.902,-10.606,-10.124,-20.5,-16.253,-22.419,-55.938,-57.709,-43.993,-37.304,-40.359,-22.729,-11.055,-52.745,-40.87,-37.689,-46.191,-34.334,-35.134,-67.116,-30.28,-33.436,-75.706,-29.149,-30.226,-104.311,-36.053,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-72.232,11.555,48.496,-55.085,24.025,66.239,-30.792,21.756,73.674,-0.323,20.551,74.292,22.315,27.718,69.273,40.083,15.595,54.371,NaN,NaN,NaN,-61.719,3.404,50.432,-30.439,4.284,60.376,0.396,5.198,58.592,31.304,6.649,54.116,NaN,NaN,NaN,-21.258,0.754,76.562,-6.897,0.896,76.963,-32.605,-27.447,81.312,-13.523,-24.08,97.79,6.442,-27.167,82.32,-41.422,-56.746,58.887,-14.584,-50.658,79.684,18.197,-56.597,58.137,-13.856,-54.346,78.296,-12.36,-64.667,75.442,-12.269,-72.579,76.515,-10.668,-104.472,76.445,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-85.087,8.485,26.014,-69.15,21.147,46.327,-41.359,23.44,53.691,-14.158,24.189,53.848,7.854,29.435,48.78,28.848,22.775,31.622,NaN,NaN,NaN,-73.295,4.698,35.437,-41.866,5.746,39.913,-9.747,9.371,39.059,19.908,12.351,34.152,NaN,NaN,NaN,-33.175,3.574,59.648,-18.34,5.19,59.951,-40.278,-28.677,61.195,-23.035,-23.829,81.193,-3.542,-24.242,63.59,-44.876,-60.628,56.935,-21.003,-48.911,69.602,8.149,-57.703,54.333,-21.018,-53.447,66.497,-20.989,-54.905,67.047,-19.548,-63.728,66.461,-19.402,-100.497,62.008,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-79.129,16.653,38.265,-64.108,33.507,58.107,-35.782,26.88,70.179,-8.075,26.936,71.895,16.547,37.948,66.647,35.273,26.411,54.153,NaN,NaN,NaN,-64.404,6.376,51.444,-36.044,7.923,58.427,-5.216,9.553,60.228,25.637,10.306,56.51,NaN,NaN,NaN,-27.473,5.823,77.015,-15.262,7.321,78.136,-38.307,-23.828,77.239,-22.053,-17.733,98.355,-1.931,-22.792,86.103,-41.642,-61.695,64.654,-21.442,-48.211,85.0,5.924,-59.11,69.821,-21.484,-51.17,83.166,-17.549,-69.693,52.178,-17.014,-78.054,81.127,-14.786,-108.176,75.964,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-18.142,-20.739,1.826,-5.493,-6.73,21.64,26.319,-8.047,28.459,54.778,-4.315,30.21,78.103,2.586,28.591,101.984,-2.806,5.918,NaN,NaN,NaN,-5.082,-24.48,6.879,28.141,-19.595,19.751,59.044,-15.791,19.216,88.962,-12.662,12.462,NaN,NaN,NaN,37.4,-22.865,37.124,50.938,-22.044,38.167,24.228,-56.049,31.998,44.615,-51.023,56.256,65.742,-51.6,41.031,23.833,-83.76,18.618,48.232,-77.391,34.226,77.39,-77.576,19.733,48.253,-78.931,33.291,48.26,-79.669,33.372,48.261,-81.829,34.887,51.664,-124.462,26.243,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-11.458,-0.075,-5.596,8.447,12.856,13.912,34.916,6.82,16.194,62.997,10.738,16.951,92.359,14.589,7.127,109.641,1.558,-12.451,NaN,NaN,NaN,-0.551,-6.963,-2.143,32.364,-6.034,2.335,66.688,-6.01,5.536,95.896,-5.871,-2.886,NaN,NaN,NaN,43.17,-8.939,26.592,56.752,-8.896,25.157,30.61,-40.301,29.644,48.661,-38.937,46.81,68.261,-42.73,24.589,24.921,-81.895,12.461,48.414,-72.728,36.98,69.754,-81.559,10.658,49.096,-78.065,10.856,48.865,-87.105,23.807,48.933,-96.711,26.448,47.777,-127.056,13.775,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-19.134,-0.013,-26.242,-3.628,14.624,-5.952,26.872,10.908,1.84,58.261,12.556,2.064,82.037,18.771,-1.385,103.515,11.255,-23.078,NaN,NaN,NaN,-7.596,-5.489,-18.776,26.472,-3.578,-10.567,60.329,-2.926,-10.293,92.278,-0.569,-16.897,NaN,NaN,NaN,37.562,-7.336,8.738,51.361,-8.034,9.144,25.405,-39.271,8.888,42.438,-38.688,27.031,63.437,-39.091,10.74,16.758,-69.181,-13.763,46.281,-68.956,5.687,77.021,-63.949,-17.957,46.77,-73.857,-10.815,46.493,-78.327,1.023,46.419,-85.052,3.164,47.035,-120.405,-7.07,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-18.612,-13.874,-5.798,-3.465,-2.178,16.928,28.335,-5.886,24.13,54.64,-3.605,25.691,81.112,4.758,23.361,104.945,-5.659,0.012,NaN,NaN,NaN,-6.215,-20.753,2.906,28.57,-18.966,12.526,59.824,-16.636,13.646,95.951,-15.697,3.614,NaN,NaN,NaN,38.849,-23.785,32.694,51.677,-23.042,31.801,25.473,-53.896,29.827,44.471,-58.078,48.969,66.023,-52.832,32.43,14.598,-80.707,7.955,48.081,-79.92,29.195,81.536,-74.425,5.847,48.148,-82.204,28.481,48.911,-82.967,28.503,48.997,-88.959,28.962,50.687,-123.413,20.329,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-16.91,0.868,0.583,-2.525,15.127,19.723,28.504,12.928,27.03,56.946,16.037,28.039,88.338,19.818,19.585,105.123,7.231,2.804,NaN,NaN,NaN,-3.738,-6.087,7.066,27.919,-6.038,16.585,62.209,-4.375,15.061,93.679,-3.655,7.477,NaN,NaN,NaN,37.441,-7.939,35.992,52.386,-8.669,35.764,25.588,-40.873,36.935,43.793,-34.086,56.035,64.962,-43.406,26.249,23.134,-85.283,18.304,43.618,-73.073,43.781,66.06,-83.716,19.331,44.505,-76.736,33.765,44.239,-98.285,25.531,44.981,-109.221,30.259,46.381,-137.539,15.335,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-76.578,12.439,-22.525,-57.202,13.978,-5.793,-38.725,12.558,-2.894,-7.38,12.579,-1.553,15.433,17.388,-7.651,34.318,15.883,-25.77,NaN,NaN,NaN,-71.94,-3.81,-25.239,-38.36,-2.981,-17.62,-5.216,0.163,-17.461,26.731,0.419,-26.305,NaN,NaN,NaN,-25.518,-10.25,4.354,-13.479,-9.476,3.919,-34.563,-46.321,-0.294,-16.831,-35.588,22.94,-0.911,-43.729,1.095,-46.33,-73.98,-3.688,-16.938,-67.283,10.026,12.874,-71.984,-14.026,-16.232,-71.128,8.943,-15.482,-74.187,8.573,-16.19,-81.226,4.288,-15.241,-117.245,-7.158,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-88.207,8.369,-51.312,-71.524,14.734,-32.403,-51.078,10.748,-28.28,-15.977,15.532,-25.527,6.997,20.274,-30.423,26.955,16.554,-48.655,NaN,NaN,NaN,-80.363,-8.137,-50.639,-46.797,-4.901,-40.789,-14.724,-0.833,-41.445,15.186,2.358,-43.794,NaN,NaN,NaN,-36.946,-13.966,-21.795,-25.244,-11.486,-18.274,-46.015,-43.505,-21.467,-26.893,-41.889,-0.409,-9.155,-41.304,-27.927,-53.698,-81.337,-44.209,-27.312,-67.592,-21.729,5.917,-77.02,-41.198,-27.291,-73.726,-22.7,-26.595,-78.707,-27.985,-24.911,-86.358,-25.253,-22.517,-113.168,-29.114,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-79.238,27.463,-44.305,-59.812,37.329,-28.302,-39.364,31.941,-21.883,-5.342,28.875,-23.088,20.284,35.422,-33.347,38.097,23.942,-52.351,NaN,NaN,NaN,-70.411,8.857,-39.836,-39.556,8.623,-35.113,-5.96,8.047,-35.058,26.876,8.183,-43.724,NaN,NaN,NaN,-26.692,1.776,-14.272,-13.756,1.823,-15.586,-38.027,-31.315,-9.923,-20.757,-23.849,9.697,-2.018,-35.349,-24.084,-46.875,-74.423,-23.102,-22.448,-57.26,-4.328,1.131,-74.406,-26.687,-21.723,-65.093,-7.527,-22.424,-82.938,-12.652,-22.413,-93.033,-12.694,-23.834,-125.613,-23.284,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-114.449,12.117,-29.799,-98.845,22.125,-15.841,-74.637,17.593,-11.438,-43.077,17.606,-11.8,-20.159,24.789,-15.576,-1.686,17.217,-33.252,NaN,NaN,NaN,-108.789,-0.995,-27.62,-76.876,0.571,-20.216,-43.315,2.837,-20.809,-11.644,3.886,-26.525,NaN,NaN,NaN,-66.636,-6.975,-7.476,-53.272,-6.842,0.604,-79.196,-34.515,-8.771,-56.387,-32.241,18.645,-38.012,-34.276,-0.053,-95.715,-62.646,-31.726,-59.655,-56.783,-5.645,-23.957,-58.552,-30.684,-58.968,-62.224,-6.904,-58.526,-78.985,-15.204,-58.198,-87.136,-10.876,-56.361,-117.889,-10.575,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-86.265,18.588,-39.328,-66.515,22.98,-17.728,-46.232,21.474,-13.238,-9.388,20.866,-12.567,10.519,24.072,-16.347,27.842,19.42,-30.364,NaN,NaN,NaN,-73.932,0.605,-32.35,-43.4,0.545,-23.881,-11.63,2.345,-21.314,22.649,2.394,-31.602,NaN,NaN,NaN,-34.473,-6.068,-8.136,-18.487,-5.159,-4.462,-42.654,-38.25,-1.987,-24.685,-29.333,18.245,-7.297,-38.766,-0.103,-53.774,-72.635,-12.717,-25.595,-60.944,4.454,3.321,-70.711,-13.278,-25.674,-65.525,3.956,-25.036,-68.599,2.764,-24.366,-77.283,-2.427,-26.273,-109.911,-8.305,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-84.313,17.119,-14.132,-65.877,27.711,2.235,-43.456,23.963,9.585,-11.583,22.4,11.029,7.208,26.368,7.465,27.166,22.79,-6.529,NaN,NaN,NaN,-73.93,1.645,-9.243,-41.436,-0.416,-0.609,-11.912,-0.185,-2.372,20.46,0.558,-9.587,NaN,NaN,NaN,-33.501,-7.095,14.582,-20.523,-6.329,18.573,-43.891,-40.465,15.177,-27.486,-31.979,40.193,-9.087,-41.58,21.687,-51.039,-80.418,4.963,-27.033,-67.093,24.643,-3.745,-78.948,3.176,-27.013,-74.068,22.506,-27.09,-87.712,10.172,-27.757,-98.14,13.45,-26.368,-128.616,2.5,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-120.55,-11.189,-92.81,-99.339,-4.176,-64.87,-70.362,-12.879,-59.307,-45.871,-11.08,-60.342,-12.78,-1.687,-70.799,6.581,-6.919,-104.006,NaN,NaN,NaN,-110.196,-18.17,-83.61,-74.456,-20.234,-76.267,-40.823,-20.307,-81.203,-6.203,-15.639,-89.698,NaN,NaN,NaN,-62.146,-27.897,-55.211,-48.002,-28.637,-56.725,-72.641,-59.572,-58.411,-53.782,-58.797,-40.111,-35.415,-59.292,-67.164,-79.901,-88.897,-77.852,-56.778,-88.633,-65.308,-29.87,-89.778,-81.943,-56.116,-92.902,-69.94,-56.116,-94.529,-70.315,-56.082,-101.785,-70.725,-55.573,-132.571,-82.777,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-116.546,7.89,-122.274,-92.68,16.137,-96.71,-62.849,5.616,-99.788,-35.294,5.713,-104.757,-3.454,16.335,-115.536,8.582,2.896,-140.172,NaN,NaN,NaN,-103.694,0.472,-115.369,-68.838,-1.814,-109.534,-34.746,-3.514,-114.282,1.376,-1.835,-127.901,NaN,NaN,NaN,-53.461,-7.879,-90.418,-38.15,-8.763,-92.586,-67.266,-31.405,-89.084,-46.245,-38.231,-72.736,-28.404,-32.327,-94.455,-84.432,-65.883,-112.747,-52.249,-62.173,-102.408,-22.341,-72.25,-124.075,-51.37,-67.991,-104.357,-51.388,-70.484,-105.749,-51.247,-76.8,-102.641,-51.542,-119.385,-115.029,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-111.92,-1.178,-96.551,-94.21,10.321,-73.271,-62.754,4.843,-66.214,-40.414,5.042,-65.899,-3.776,12.806,-77.532,13.79,3.144,-105.199,NaN,NaN,NaN,-100.098,-5.904,-89.651,-66.772,-8.09,-82.248,-31.907,-7.899,-79.449,2.655,-4.2,-89.349,NaN,NaN,NaN,-54.413,-14.839,-56.133,-40.085,-14.759,-54.807,-65.766,-47.789,-68.127,-46.104,-42.953,-40.102,-28.367,-49.799,-77.166,-71.267,-83.304,-83.397,-48.854,-77.68,-62.398,-22.112,-83.346,-86.627,-50.051,-85.888,-100.038,-47.536,-90.718,-77.579,-47.413,-101.953,-75.241,-46.912,-136.006,-88.502,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-111.256,24.103,-134.91,-93.347,38.909,-114.454,-59.213,33.074,-103.168,-35.593,32.38,-103.931,-2.209,39.054,-115.259,16.661,26.874,-137.864,NaN,NaN,NaN,-101.227,19.136,-123.624,-64.636,18.329,-118.793,-29.469,17.681,-115.52,7.642,20.117,-130.092,NaN,NaN,NaN,-51.24,11.139,-88.5,-37.493,11.192,-88.956,-66.963,-16.675,-99.202,-42.918,-15.98,-73.38,-21.816,-17.488,-107.937,-81.353,-41.925,-124.988,-47.399,-41.85,-100.736,-8.567,-43.018,-132.961,-46.627,-46.071,-102.936,-44.627,-62.993,-114.738,-43.75,-74.107,-112.232,-43.986,-108.991,-105.28,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-91.623,7.905,-83.9,-69.662,14.456,-62.329,-39.421,15.37,-55.974,-15.777,12.89,-55.696,12.945,6.505,-72.362,31.024,-3.43,-101.262,NaN,NaN,NaN,-84.05,-0.77,-79.858,-47.053,-3.078,-74.391,-16.716,-3.922,-77.076,20.976,-8.023,-88.112,NaN,NaN,NaN,-36.017,-10.786,-50.484,-21.031,-12.438,-54.276,-50.191,-41.736,-56.547,-26.928,-38.587,-33.939,-12.474,-49.3,-69.909,-65.813,-64.727,-69.673,-32.802,-65.593,-55.324,-2.827,-69.885,-80.21,-33.613,-70.313,-56.688,-34.396,-71.866,-56.37,-34.405,-77.41,-57.55,-39.282,-119.065,-79.254,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-100.019,14.827,-92.604,-81.694,29.218,-65.844,-47.896,19.894,-55.131,-20.901,19.733,-59.946,12.275,26.298,-69.307,29.577,13.564,-104.419,NaN,NaN,NaN,-87.016,6.891,-79.766,-52.333,4.602,-72.748,-18.03,3.002,-72.816,17.273,6.234,-82.261,NaN,NaN,NaN,-39.565,-2.286,-44.699,-25.512,-2.236,-46.603,-52.326,-33.264,-49.267,-29.744,-27.843,-28.39,-13.667,-37.496,-65.121,-58.519,-72.308,-72.131,-34.852,-64.115,-50.908,-9.618,-74.042,-75.271,-34.111,-68.975,-55.265,-32.566,-85.502,-66.12,-31.629,-95.763,-63.67,-33.478,-129.572,-78.165,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-72.337,35.904,-46.93,-51.703,39.319,-21.085,-26.907,33.979,-17.726,3.046,31.579,-14.967,28.574,32.614,-23.209,44.866,24.342,-41.465,NaN,NaN,NaN,-59.521,26.611,-41.499,-27.092,20.203,-35.293,0.101,17.208,-32.347,30.905,18.959,-47.89,NaN,NaN,NaN,-18.987,10.051,-10.213,-7.464,10.01,-9.011,-30.779,-20.28,-28.578,-14.986,-15.913,1.493,-0.371,-23.796,-14.829,-40.11,-49.84,-28.811,-16.607,-46.409,-17.477,5.038,-53.805,-31.745,-17.352,-52.014,-19.815,-17.36,-54.425,-21.462,-17.261,-63.06,-25.148,-20.32,-89.062,-32.304,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-76.16,66.133,-72.667,-58.153,77.465,-57.649,-29.309,72.004,-51.124,-0.04,70.402,-55.099,26.936,72.351,-63.487,41.258,59.727,-96.483,NaN,NaN,NaN,-61.677,56.377,-72.783,-31.117,51.7,-68.221,-4.105,49.341,-71.795,27.28,49.024,-82.65,NaN,NaN,NaN,-25.111,45.01,-46.814,-11.088,44.907,-46.194,-36.739,16.624,-50.471,-15.307,21.297,-28.612,-0.682,11.956,-63.84,-45.98,-20.09,-65.06,-19.345,-10.07,-42.564,4.365,-24.061,-66.661,-20.075,-16.481,-91.367,-20.333,-27.707,-54.502,-20.985,-35.538,-49.604,-22.533,-65.173,-59.814,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-84.231,34.263,-122.382,-64.973,39.727,-97.648,-41.401,37.31,-91.26,-11.358,38.144,-91.695,14.488,42.581,-98.294,34.551,38.646,-118.873,NaN,NaN,NaN,-68.152,25.174,-115.547,-37.661,22.933,-108.495,-8.934,22.938,-111.498,21.492,27.933,-119.579,NaN,NaN,NaN,-28.851,15.45,-85.263,-15.9,15.566,-85.889,-39.485,-12.863,-92.538,-23.042,-7.522,-70.932,-3.822,-13.597,-94.799,-48.913,-41.373,-114.075,-21.524,-37.87,-90.571,10.245,-39.564,-113.905,-21.525,-42.133,-94.53,-19.975,-49.676,-98.75,-19.243,-56.974,-97.35,-19.072,-87.276,-103.204,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-45.125,59.364,-160.504,-23.519,69.735,-137.871,2.316,60.516,-131.595,33.707,57.213,-132.443,58.791,55.731,-140.909,70.319,41.195,-154.854,NaN,NaN,NaN,-30.373,49.235,-152.292,-0.2,41.647,-146.082,25.56,36.783,-146.952,57.98,31.873,-156.623,NaN,NaN,NaN,5.666,35.669,-125.475,18.074,33.183,-119.417,-7.387,9.157,-126.018,9.875,13.541,-103.726,24.758,-0.725,-122.983,-21.454,-28.444,-136.627,4.38,-19.554,-116.965,25.2,-35.87,-138.651,3.582,-23.84,-119.6,1.135,-37.993,-121.114,0.251,-47.091,-121.821,-6.31,-77.171,-129.026,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-69.929,0.571,12.117,-51.811,0.953,31.089,-29.932,-5.864,31.75,-3.04,-6.589,32.723,19.253,-0.625,26.702,35.449,-3.102,9.974,NaN,NaN,NaN,-63.02,-8.488,12.207,-33.541,-15.123,14.171,-3.354,-15.927,16.315,28.784,-13.725,3.826,NaN,NaN,NaN,-22.475,-25.406,28.402,-10.53,-25.316,29.108,-36.878,-55.745,21.359,-17.05,-51.177,41.841,-2.418,-58.793,19.656,-48.01,-85.327,8.74,-20.906,-80.587,22.986,4.018,-87.644,4.924,-20.143,-82.913,22.425,-20.183,-84.602,20.507,-20.146,-87.552,22.307,-22.542,-116.593,-1.613,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-72.781,9.572,-72.482,-53.655,12.15,-49.065,-30.772,6.712,-48.893,-7.243,5.097,-47.164,12.431,9.2,-51.242,31.664,5.15,-71.219,NaN,NaN,NaN,-66.289,-1.569,-70.782,-37.607,-7.025,-68.017,-5.662,-7.847,-67.311,25.539,-6.927,-73.92,NaN,NaN,NaN,-27.604,-16.403,-52.308,-15.665,-15.534,-50.846,-39.252,-45.707,-54.373,-21.049,-40.269,-36.44,-5.345,-46.456,-54.204,-51.782,-71.966,-70.365,-24.316,-67.916,-56.152,1.799,-73.675,-76.313,-23.536,-70.317,-57.225,-23.574,-72.816,-59.905,-23.573,-75.929,-59.286,-25.177,-110.411,-82.53,NaN,NaN,NaN,NaN,NaN,NaN
FEAR,-72.041,16.89,-55.338,-54.979,20.803,-37.206,-33.475,12.768,-31.943,-6.315,9.89,-40.783,16.261,14.428,-38.594,32.412,9.205,-55.649,NaN,NaN,NaN,-65.148,4.149,-58.822,-35.562,-2.772,-50.956,-5.439,-6.012,-48.677,27.024,-3.668,-65.069,NaN,NaN,NaN,-26.519,-12.851,-38.266,-14.066,-13.618,-35.283,-40.022,-42.034,-39.619,-21.638,-35.223,-21.869,-6.987,-44.107,-36.048,-48.131,-74.977,-56.103,-24.811,-66.986,-36.719,-3.585,-77.362,-56.286,-25.63,-71.897,-40.013,-25.633,-80.898,-47.223,-25.541,-90.275,-46.188,-25.776,-113.788,-64.186,NaN,NaN,NaN,NaN,NaN,NaN
HAPPY,-73.29,7.31,-61.749,-55.495,12.191,-46.489,-33.205,2.675,-43.09,-3.448,2.98,-41.641,20.122,9.982,-48.435,37.277,1.988,-77.017,NaN,NaN,NaN,-66.232,-4.622,-59.168,-35.787,-9.988,-51.428,-4.887,-10.853,-52.659,28.433,-10.037,-62.912,NaN,NaN,NaN,-26.061,-19.214,-42.521,-14.39,-19.174,-40.635,-40.281,-42.983,-43.837,-20.375,-43.005,-24.14,-1.678,-46.995,-48.106,-55.945,-64.345,-64.127,-25.216,-65.085,-45.126,11.165,-66.598,-66.444,-23.647,-70.598,-46.574,-23.629,-82.008,-54.219,-24.294,-89.054,-51.488,-26.791,-115.802,-59.962,NaN,NaN,NaN,NaN,NaN,NaN
SADNESS,-73.26,7.248,-20.849,-55.407,10.43,-6.085,-32.358,2.902,-5.996,-5.743,1.532,-3.37,17.322,5.405,-10.732,34.196,0.642,-36.763,NaN,NaN,NaN,-66.926,-5.893,-20.921,-36.703,-11.929,-22.815,-5.721,-12.697,-22.563,24.678,-11.831,-24.471,NaN,NaN,NaN,-26.946,-20.103,-5.456,-13.168,-20.008,-7.947,-40.693,-50.407,-11.424,-18.917,-44.011,10.049,-5.322,-54.497,-19.009,-53.719,-76.719,-25.001,-24.487,-74.772,-8.0,3.847,-79.86,-32.031,-25.231,-79.595,-11.834,-25.247,-81.171,-12.424,-26.825,-88.223,-13.616,-28.372,-111.183,-20.152,NaN,NaN,NaN,NaN,NaN,NaN
SURPRISE,-81.813,25.748,-57.556,-64.102,31.712,-33.069,-39.118,21.697,-31.636,-10.203,22.643,-28.974,14.769,32.057,-37.812,29.973,23.586,-61.725,NaN,NaN,NaN,-74.195,12.432,-50.245,-40.807,6.017,-42.751,-11.974,6.226,-43.119,20.53,7.864,-54.535,NaN,NaN,NaN,-33.322,-4.014,-29.274,-20.168,-3.897,-26.068,-44.264,-31.271,-29.843,-27.622,-22.266,-10.148,-10.956,-33.475,-25.814,-50.821,-64.56,-40.363,-28.429,-55.202,-22.477,-7.678,-66.287,-44.885,-29.464,-60.038,-29.197,-29.416,-72.031,-33.745,-30.115,-81.425,-33.72,-30.435,-106.152,-51.147,NaN,NaN,NaN,NaN,NaN,NaN
ANGER,-63.911,-8.247,-27.99,-43.102,1.341,-3.48,-15.697,-4.564,-2.572,7.371,-5.325,-2.675,31.343,-1.537,-10.08,48.264,-7.983,-33.925,NaN,NaN,NaN,-50.249,-16.447,-13.969,-21.75,-19.366,-12.653,9.123,-19.337,-13.148,38.503,-20.293,-21.326,NaN,NaN,NaN,-11.399,-28.397,0.103,0.826,-28.426,-1.045,-20.549,-60.4,3.915,-5.396,-51.28,17.419,8.378,-58.708,6.829,-26.766,-87.833,-7.118,-5.164,-84.623,5.616,17.844,-86.441,-12.115,-4.417,-86.342,2.312,-4.402,-87.883,2.041,-3.582,-93.133,3.125,-5.07,-122.934,-23.612,NaN,NaN,NaN,NaN,NaN,NaN
DISGUST,-60.582,-5.96,-59.869,-43.096,3.618,-39.555,-15.745,-2.432,-41.818,8.681,-1.523,-42.326,34.764,0.09,-50.833,49.783,-9.047,-76.857,NaN,NaN,NaN,-48.136,-15.227,-51.733,-19.611,-17.614,-49.441,11.136,-17.704,-53.607,39.04,-16.912,-59.749,NaN,NaN,NaN,-9.472,-27.503,-39.378,2.402,-27.572,-41.012,-20.203,-57.487,-40.635,-3.594,-55.957,-24.492,11.082,-58.91,-38.444,-37.155,-84.323,-67.911,-3.843,-77.678,-38.838,25.938,-80.247,-72.238,-3.596,-84.16,-43.43,-4.213,-94.421,-53.022,-4.336,-104.009,-56.618,-5.072,-125.92,-70.629,NaN,NaN,NaN,NaN,NaN,NaN
